id,case_group
1359,WEEDS AND VEGETATION
1360,BUILDING
1361,VACANT BUILDING
1362,
1363,SITE
1364,ZONING
1365,ZONING
1366,WEEDS AND VEGETATION
1367,ZONING
1368,WEEDS AND VEGETATION
1369,MECHANICAL
1370,BUILDING
1371,HOUSING
1372,WEEDS AND VEGETATION
1373,WEEDS AND VEGETATION
1374,ZONING
1375,WEEDS AND VEGETATION
1376,
1377,
1378,HOUSING
1379,BUILDING
1380,HOUSING
1381,ZONING
1382,HOUSING
1383,ZONING
1384,ZONING
1385,BUILDING
1386,
1387,ZONING
1388,ZONING
1389,HOUSING
1390,MECHANICAL
1391,ZONING
1392,HOUSING
1393,BUILDING
1394,ZONING
1395,VACANT BUILDING
1396,HOUSING
1397,ZONING
1398,ZONING
1399,VACANT BUILDING
