Game,Away,Home,Week,Day,GameDate,Time,Stadium,Address,Capacity
166,Vikings,Falcons,12,Sunday,11/29/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
167,Giants,Redskins,12,Sunday,11/29/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
168,Buccaneers,Colts,12,Sunday,11/29/2015,1:00 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
169,Bills,Chiefs,12,Sunday,11/29/2015,1:00 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
170,Raiders,Titans,12,Sunday,11/29/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
171,Chargers,Jaguars,12,Sunday,11/29/2015,1:00 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
172,Dolphins,Jets,12,Sunday,11/29/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
173,Cardinals,49ers,12,Sunday,11/29/2015,4:05 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
174,Steelers,Seahawks,12,Sunday,11/29/2015,4:25 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
175,Patriots,Broncos,12,Sunday,11/29/2015,8:30 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
176,Ravens,Browns,12,Monday,11/30/2015,8:30 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
177,Packers,Lions,13,Thursday,12/3/2015,8:25 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
178,Jets,Giants,13,Sunday,12/6/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
179,Cardinals,Rams,13,Sunday,12/6/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
180,Falcons,Buccaneers,13,Sunday,12/6/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
181,Panthers,Saints,13,Sunday,12/6/2015,1:00 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
182,Seahawks,Vikings,13,Sunday,12/6/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
