ID,Street,Longitude,Latitude,BuildingPermit_id
469,8330 22ND AVE NW,-122.38409757,47.68965288,
470,11226 DAYTON AVE N,-122.35252677,47.71136167,
471,801 2ND AVE,-122.33448205,47.60370224,
472,2818 NW 69TH ST,-122.3938397,47.67894314,
473,2818 NW 69TH ST,-122.3938397,47.67894314,
474,700 2ND AVE,-122.33313747,47.60307545,
475,2320 E DENNY WAY,-122.30177668,47.61911912,
476,7738 20TH AVE SW,-122.3588002,47.53256912,
477,10324 23RD AVE NE,-122.30403423,47.70362007,
478,1821 29TH AVE,-122.29510862,47.61832892,
479,1220 HOWELL ST,-122.33061198,47.61770123,
480,2318 N 44TH ST,-122.33041999,47.66044013,
481,928 E ALLISON ST,-122.31942567,47.64890653,
482,1326 5TH AVE,-122.33389853,47.60932305,
483,4920 32ND AVE NE,-122.29324764,47.6647484,
484,3525 WALLINGFORD AVE N,-122.33663831,47.65001537,
485,1920 S STATE ST,-122.30774476,47.587867,
486,1920 S STATE ST,-122.30774476,47.587867,
487,229 31ST AVE E,-122.29261304,47.62108538,
488,9021 15TH AVE SW,-122.35429336,47.5222024,
489,216 9TH AVE N,-122.33936204,47.62022588,
490,750 S MICHIGAN ST,-122.3240793,47.54710633,
491,3430 NW 59TH ST,-122.40253675,47.67150928,
492,1115 N 42ND ST,-122.34387311,47.65786969,
493,8853 38TH AVE SW,-122.38104448,47.52319907,
494,2044 EASTLAKE AVE E,-122.32559279,47.63812426,
495,3531 WALLINGFORD AVE N,-122.33659282,47.65018253,
