ID,PermitNumber,PermitType,Status
765,6518807,Construction,Application Accepted
766,6399864,Construction,Application Accepted
767,6514393,Construction,Application Accepted
768,6510962,Construction,Permit Issued
769,6526965,Demolition,Reviews Completed
770,6521562,Construction,Application Accepted
771,6523328,Construction,Reviews Completed
772,6527007,Construction,Permit Issued
773,6527005,Construction,Permit Issued
774,6515455,Construction,Application Accepted
775,6513436,Construction,Application Accepted
776,6517026,Construction,Application Accepted
777,6511955,Construction,Application Accepted
778,6511776,Construction,Application Accepted
779,6526052,Construction,Permit Issued
780,6518811,Construction,Application Accepted
781,6523146,Construction,Permit Issued
782,6525488,Construction,Permit Issued
783,6518580,Construction,Permit Closed
784,6526017,Construction,Permit Issued
785,6526905,Construction,Permit Issued
786,6526897,Construction,Permit Issued
787,6503255,Construction,Application Accepted
788,6513093,Demolition,Application Accepted
789,6526048,Construction,Permit Issued
790,6526263,Demolition,Application Accepted
791,6526201,Construction,Permit Issued
792,6526201,Construction,Permit Issued
793,6514207,Construction,Reviews Completed
794,6526883,Construction,Application Accepted
795,6500476,Construction,Reviews Completed
796,6526854,Demolition,Reviews Completed
797,6506500,Construction,Application Accepted
798,6510030,Construction,Application Accepted
799,6521526,Construction,Permit Issued
800,6469114,Construction,Application Accepted
801,6146909,Construction,
802,6512502,Construction,Application Accepted
803,6521031,Construction,Application Accepted
804,6526792,Demolition,Reviews Completed
805,6506214,Construction,Application Accepted
806,6507286,Construction,Application Accepted
807,6526526,Construction,Application Accepted
808,6526776,Construction,Permit Issued
809,6509636,Demolition,Reviews Completed
810,6525393,Construction,Permit Issued
