id,Action Type,Work Type
930,ADD/ALT,No plan review
931,ADD/ALT,No plan review
932,ADD/ALT,No plan review
933,DEMOLITION,Plan Review
934,NEW,Plan Review
935,ADD/ALT,Plan Review
936,ADD/ALT,Plan Review
937,ADD/ALT,Plan Review
938,ADD/ALT,Plan Review
939,ADD/ALT,Plan Review
940,ADD/ALT,No plan review
941,ADD/ALT,No plan review
942,ADD/ALT,No plan review
943,ADD/ALT,Plan Review
944,NEW,Plan Review
945,,Plan Review
946,ADD/ALT,Plan Review
947,ADD/ALT,Plan Review
948,DEMOLITION,No plan review
949,NEW,Plan Review
950,DEMOLITION,No plan review
951,ADD/ALT,No plan review
952,ADD/ALT,No plan review
953,ADD/ALT,Plan Review
954,ADD/ALT,No plan review
955,ADD/ALT,No plan review
956,ADD/ALT,No plan review
957,ADD/ALT,No plan review
958,ADD/ALT,No plan review
959,ADD/ALT,Plan Review
960,DEMOLITION,Plan Review
961,ADD/ALT,Plan Review
962,,No plan review
963,NEW,Plan Review
964,DEMOLITION,No plan review
965,DEMOLITION,No plan review
966,NEW,Plan Review
967,ADD/ALT,No plan review
968,ADD/ALT,Plan Review
969,ADD/ALT,Plan Review
970,ADD/ALT,Plan Review
971,ADD/ALT,No plan review
972,NEW,Plan Review
973,DEMOLITION,No plan review
974,ADD/ALT,Plan Review
975,ADD/ALT,No plan review
976,ADD/ALT,No plan review
977,DEMOLITION,No plan review
978,ADD/ALT,Plan Review
979,ADD/ALT,Plan Review
980,NEW,Plan Review
981,NEW,Plan Review
982,ADD/ALT,No plan review
983,ADD/ALT,Plan Review
984,ADD/ALT,Plan Review
985,TREE/VEGETATION MAINT/RESTORE,No plan review
986,ADD/ALT,No plan review
987,TREE/VEGETATION MAINT/RESTORE,No plan review
988,TREE/VEGETATION MAINT/RESTORE,No plan review
989,ADD/ALT,No plan review
990,ADD/ALT,No plan review
991,ADD/ALT,Plan Review
992,ADD/ALT,Plan Review
993,DEMOLITION,No plan review
994,ADD/ALT,Plan Review
995,NEW,Plan Review
996,ADD/ALT,Plan Review
997,NEW,Plan Review
998,NEW,Plan Review
999,DEMOLITION,No plan review
1000,NEW,Plan Review
1001,NEW,Plan Review
1002,NEW,Plan Review
1003,TREE/VEGETATION MAINT/RESTORE,No plan review
1004,TREE/VEGETATION MAINT/RESTORE,No plan review
1005,DEMOLITION,No plan review
1006,NEW,Plan Review
1007,ADD/ALT,No plan review
1008,ADD/ALT,No plan review
1009,ADD/ALT,Plan Review
1010,ADD/ALT,No plan review
1011,ADD/ALT,Plan Review
1012,ADD/ALT,No plan review
1013,ADD/ALT,Plan Review
1014,ADD/ALT,No plan review
1015,ADD/ALT,No plan review
1016,ADD/ALT,Plan Review
1017,NO CONSTRUCTION,Plan Review
1018,ADD/ALT,No plan review
1019,ADD/ALT,Plan Review
1020,ADD/ALT,No plan review
1021,ADD/ALT,No plan review
1022,ADD/ALT,No plan review
1023,ADD/ALT,Plan Review
1024,ADD/ALT,Plan Review
1025,ADD/ALT,Plan Review
1026,ADD/ALT,Plan Review
1027,ADD/ALT,No plan review
1028,ADD/ALT,Plan Review
1029,ADD/ALT,No plan review
1030,ADD/ALT,No plan review
1031,ADD/ALT,No plan review
1032,ALTER,Plan Review
1033,ADD/ALT,No plan review
1034,ADD/ALT,Plan Review
1035,ADD/ALT,No plan review
1036,ADD/ALT,Plan Review
1037,DEMOLITION,No plan review
1038,NEW,Plan Review
1039,DEMOLITION,Plan Review
1040,ADD/ALT,Plan Review
1041,ADD/ALT,Plan Review
1042,NEW,Plan Review
1043,NEW,Plan Review
1044,ADD/ALT,Plan Review
1045,ADD/ALT,Plan Review
1046,ADD/ALT,Plan Review
1047,DEMOLITION,No plan review
1048,ADD/ALT,No plan review
1049,ADD/ALT,Plan Review
1050,DEMOLITION,No plan review
1051,NEW,Plan Review
1052,ADD/ALT,No plan review
1053,ADD/ALT,No plan review
1054,ADD/ALT,Plan Review
1055,ADD/ALT,Plan Review
1056,ADD/ALT,No plan review
1057,ADD/ALT,No plan review
1058,ADD/ALT,No plan review
1059,ADD/ALT,No plan review
1060,DEMOLITION,No plan review
1061,,Plan Review
1062,NEW,Plan Review
1063,ADD/ALT,No plan review
1064,ADD/ALT,No plan review
1065,ADD/ALT,No plan review
1066,ADD/ALT,No plan review
1067,ALTER,Plan Review
1068,TEMP,Plan Review
1069,ADD/ALT,No plan review
1070,ADD/ALT,Plan Review
1071,ADD/ALT,Plan Review
1072,ADD/ALT,Plan Review
1073,ADD/ALT,Plan Review
1074,NEW,Plan Review
1075,ADD/ALT,Plan Review
1076,DEMOLITION,No plan review
1077,,Plan Review
1078,TREE/VEGETATION MAINT/RESTORE,No plan review
1079,NEW,Plan Review
1080,DEMOLITION,No plan review
1081,DEMOLITION,No plan review
1082,NEW,Plan Review
1083,ADD/ALT,Plan Review
1084,ADD/ALT,Plan Review
1085,NEW,No plan review
1086,DEMOLITION,No plan review
1087,NEW,Plan Review
1088,ADD/ALT,Plan Review
1089,NEW,Plan Review
1090,ADD/ALT,Plan Review
1091,ADD/ALT,No plan review
1092,ADD/ALT,Plan Review
1093,NEW,Plan Review
1094,,Plan Review
1095,ADD/ALT,Plan Review
1096,ADD/ALT,Plan Review
1097,DEMOLITION,No plan review
1098,ADD/ALT,Plan Review
1099,NEW,Plan Review
1100,NEW,Plan Review
1101,NEW,Plan Review
1102,NEW,Plan Review
1103,NEW,Plan Review
1104,NEW,Plan Review
1105,DEMOLITION,No plan review
1106,DEMOLITION,No plan review
1107,NEW,Plan Review
1108,NEW,Plan Review
1109,NEW,Plan Review
1110,NEW,Plan Review
1111,DEMOLITION,No plan review
1112,NEW,Plan Review
1113,NEW,Plan Review
1114,NEW,Plan Review
1115,NEW,Plan Review
1116,ADD/ALT,No plan review
1117,NEW,Plan Review
1118,TEMP,Plan Review
1119,ADD/ALT,Plan Review
1120,NEW,Plan Review
1121,ADD/ALT,No plan review
1122,ADD/ALT,No plan review
1123,DEMOLITION,No plan review
1124,NEW,Plan Review
1125,ADD/ALT,Plan Review
1126,ADD/ALT,Plan Review
1127,ADD/ALT,Plan Review
1128,ADD/ALT,Plan Review
1129,NEW,Plan Review
1130,ADD/ALT,Plan Review
1131,ADD/ALT,Plan Review
1132,ADD/ALT,Plan Review
1133,ADD/ALT,Plan Review
1134,ADD/ALT,Plan Review
1135,NEW,Plan Review
1136,NEW,Plan Review
1137,DEMOLITION,No plan review
1138,NO CONSTRUCTION,No plan review
1139,SHORELINE EXEMPTION ONLY,Plan Review
1140,ADD/ALT,Plan Review
1141,ALTER,Plan Review
1142,DEMOLITION,Plan Review
1143,ADD/ALT,Plan Review
1144,ADD/ALT,No plan review
1145,ADD/ALT,No plan review
1146,ADD/ALT,No plan review
1147,NEW,Plan Review
1148,DEMOLITION,No plan review
1149,ADD/ALT,Plan Review
1150,ADD/ALT,No plan review
1151,ADD/ALT,No plan review
1152,ADD/ALT,Plan Review
1153,ADD/ALT,No plan review
1154,ALTER,Plan Review
1155,ALTER,Plan Review
1156,ADD/ALT,Plan Review
1157,ADD/ALT,No plan review
1158,ADD/ALT,No plan review
1159,ADD/ALT,Plan Review
1160,NO CONSTRUCTION,No plan review
1161,NEW,Plan Review
1162,ADD/ALT,No plan review
1163,ADD/ALT,No plan review
1164,ADD/ALT,No plan review
1165,ADD/ALT,No plan review
1166,ADD/ALT,No plan review
1167,ADD/ALT,No plan review
1168,ADD/ALT,No plan review
1169,ADD/ALT,No plan review
1170,ADD/ALT,No plan review
1171,TREE/VEGETATION MAINT/RESTORE,No plan review
1172,ADD/ALT,Plan Review
1173,ADD/ALT,Plan Review
1174,ADD/ALT,Plan Review
1175,DEMOLITION,No plan review
1176,ADD/ALT,Plan Review
1177,ADD/ALT,Plan Review
1178,ADD/ALT,Plan Review
1179,ADD/ALT,Plan Review
1180,NEW,Plan Review
1181,TREE/VEGETATION MAINT/RESTORE,No plan review
1182,ADD/ALT,Plan Review
1183,ADD/ALT,Plan Review
1184,ADD/ALT,Plan Review
1185,NO CONSTRUCTION,No plan review
1186,DEMOLITION,No plan review
1187,NEW,Plan Review
1188,ADD/ALT,No plan review
1189,ADD/ALT,Plan Review
1190,NEW,Plan Review
1191,GRADING,No plan review
1192,ADD/ALT,Plan Review
1193,ADD/ALT,No plan review
1194,TREE/VEGETATION MAINT/RESTORE,No plan review
1195,ADD/ALT,No plan review
1196,NEW,Plan Review
1197,DEMOLITION,No plan review
1198,NEW,Plan Review
1199,ADD/ALT,Plan Review
1200,ADD/ALT,Plan Review
1201,ADD/ALT,No plan review
1202,DEMOLITION,No plan review
1203,NEW,Plan Review
1204,GRADING,Plan Review
1205,ADD/ALT,No plan review
1206,ADD/ALT,Plan Review
1207,ADD/ALT,No plan review
1208,ADD/ALT,No plan review
1209,ADD/ALT,No plan review
1210,ADD/ALT,No plan review
1211,NEW,Plan Review
1212,ADD/ALT,Plan Review
1213,ADD/ALT,Plan Review
1214,DEMOLITION,No plan review
1215,ADD/ALT,Plan Review
1216,ADD/ALT,No plan review
1217,ADD/ALT,Plan Review
1218,NEW,Plan Review
1219,NEW,Plan Review
1220,ADD/ALT,Plan Review
1221,ALTER,Plan Review
1222,ADD/ALT,Plan Review
1223,ADD/ALT,No plan review
1224,ADD/ALT,Plan Review
1225,NEW,Plan Review
1226,ALTER,Plan Review
1227,ALTER,Plan Review
1228,ADD/ALT,No plan review
1229,DEMOLITION,Plan Review
1230,ADD/ALT,No plan review
1231,DEMOLITION,No plan review
1232,NEW,Plan Review
1233,DEMOLITION,No plan review
1234,NEW,Plan Review
1235,ADD/ALT,Plan Review
1236,ALTER,Plan Review
1237,ADD/ALT,No plan review
1238,NEW,Plan Review
1239,ADD/ALT,Plan Review
1240,ADD/ALT,Plan Review
1241,ADD/ALT,No plan review
1242,DEMOLITION,No plan review
1243,ADD/ALT,No plan review
1244,ADD/ALT,No plan review
1245,ADD/ALT,No plan review
1246,ADD/ALT,No plan review
1247,ADD/ALT,No plan review
1248,ADD/ALT,Plan Review
1249,ADD/ALT,Plan Review
1250,ADD/ALT,Plan Review
1251,ADD/ALT,No plan review
1252,ADD/ALT,No plan review
1253,TEMP,Plan Review
1254,ADD/ALT,Plan Review
1255,ADD/ALT,Plan Review
1256,ADD/ALT,Plan Review
1257,ADD/ALT,Plan Review
1258,ADD/ALT,Plan Review
1259,ADD/ALT,Plan Review
1260,NEW,Plan Review
1261,NEW,Plan Review
1262,ADD/ALT,Plan Review
1263,ADD/ALT,Plan Review
1264,ADD/ALT,No plan review
1265,DEMOLITION,No plan review
1266,ADD/ALT,Plan Review
1267,NEW,Plan Review
1268,ADD/ALT,No plan review
1269,ALTER,Plan Review
1270,ADD/ALT,Plan Review
1271,ADD/ALT,Plan Review
1272,ADD/ALT,No plan review
1273,ADD/ALT,No plan review
1274,ALTER,Plan Review
1275,DEMOLITION,No plan review
1276,NEW,Plan Review
1277,ADD/ALT,No plan review
1278,DEMOLITION,No plan review
1279,DEMOLITION,Plan Review
1280,DEMOLITION,No plan review
1281,DEMOLITION,No plan review
1282,ADD/ALT,Plan Review
1283,ADD/ALT,Plan Review
1284,ADD/ALT,Plan Review
1285,ADD/ALT,Plan Review
1286,ADD/ALT,Plan Review
1287,ALTER,Plan Review
1288,NEW,Plan Review
1289,ADD/ALT,No plan review
1290,ADD/ALT,No plan review
1291,ADD/ALT,Plan Review
1292,ADD/ALT,No plan review
1293,DEMOLITION,No plan review
1294,NEW,Plan Review
1295,NEW,Plan Review
1296,ADD/ALT,Plan Review
1297,ADD/ALT,Plan Review
1298,ADD/ALT,Plan Review
1299,DEMOLITION,No plan review
1300,ADD/ALT,No plan review
1301,ADD/ALT,Plan Review
1302,ADD/ALT,Plan Review
1303,ADD/ALT,No plan review
1304,ADD/ALT,Plan Review
1305,ADD/ALT,Plan Review
1306,ADD/ALT,Plan Review
1307,ADD/ALT,Plan Review
1308,ADD/ALT,Plan Review
1309,ADD/ALT,Plan Review
1310,ADD/ALT,Plan Review
1311,ADD/ALT,No plan review
1312,DEMOLITION,No plan review
1313,ADD/ALT,Plan Review
1314,ADD/ALT,Plan Review
1315,ADD/ALT,Plan Review
1316,ADD/ALT,No plan review
1317,ADD/ALT,Plan Review
1318,ADD/ALT,Plan Review
1319,ADD/ALT,No plan review
1320,ADD/ALT,No plan review
1321,ADD/ALT,No plan review
1322,ADD/ALT,No plan review
1323,ADD/ALT,Plan Review
1324,ADD/ALT,No plan review
1325,ALTER,Plan Review
1326,ADD/ALT,No plan review
1327,DEMOLITION,No plan review
1328,DEMOLITION,No plan review
1329,NEW,Plan Review
1330,NEW,Plan Review
1331,ADD/ALT,No plan review
1332,ADD/ALT,Plan Review
1333,NEW,Plan Review
1334,NEW,Plan Review
1335,DEMOLITION,No plan review
1336,ADD/ALT,Plan Review
1337,DEMOLITION,Plan Review
1338,ADD/ALT,Plan Review
1339,ADD/ALT,Plan Review
1340,NEW,Plan Review
1341,NEW,Plan Review
1342,ADD/ALT,Plan Review
1343,DEMOLITION,No plan review
1344,ADD/ALT,Plan Review
1345,ADD/ALT,Plan Review
1346,ADD/ALT,Plan Review
1347,DEMOLITION,No plan review
1348,NEW,Plan Review
1349,ADD/ALT,No plan review
1350,ADD/ALT,No plan review
1351,ADD/ALT,No plan review
1352,ADD/ALT,No plan review
1353,ADD/ALT,No plan review
1354,ADD/ALT,No plan review
1355,ADD/ALT,No plan review
1356,ADD/ALT,No plan review
1357,CURB CUT,No plan review
1358,ADD/ALT,No plan review
1359,ADD/ALT,No plan review
1360,NEW,Plan Review
1361,ADD/ALT,No plan review
1362,ADD/ALT,Plan Review
1363,ALTER,Plan Review
1364,ADD/ALT,No plan review
1365,ADD/ALT,Plan Review
1366,DEMOLITION,Plan Review
1367,ADD/ALT,Plan Review
1368,GRADING,Plan Review
1369,ADD/ALT,Plan Review
1370,NEW,Plan Review
1371,ADD/ALT,No plan review
1372,ADD/ALT,Plan Review
1373,NEW,Plan Review
1374,NEW,Plan Review
1375,ADD/ALT,No plan review
1376,ADD/ALT,Plan Review
1377,ADD/ALT,Plan Review
1378,ADD/ALT,No plan review
1379,ADD/ALT,No plan review
1380,ADD/ALT,No plan review
1381,DEMOLITION,No plan review
1382,ADD/ALT,No plan review
1383,ADD/ALT,Plan Review
1384,ADD/ALT,Plan Review
1385,ADD/ALT,Plan Review
1386,ADD/ALT,Plan Review
1387,NEW,Plan Review
1388,ADD/ALT,Plan Review
1389,ADD/ALT,Plan Review
1390,ADD/ALT,No plan review
1391,NEW,No plan review
1392,ADD/ALT,No plan review
1393,ADD/ALT,Plan Review
1394,NEW,Plan Review
1395,DEMOLITION,No plan review
1396,ADD/ALT,Plan Review
1397,DEMOLITION,No plan review
1398,ALTER,Plan Review
1399,ADD/ALT,No plan review
1400,ADD/ALT,No plan review
1401,ADD/ALT,No plan review
1402,ADD/ALT,No plan review
1403,ADD/ALT,No plan review
1404,ADD/ALT,Plan Review
1405,ADD/ALT,Plan Review
1406,ALTER,Plan Review
1407,ADD/ALT,Plan Review
1408,DEMOLITION,No plan review
1409,ADD/ALT,Plan Review
1410,ADD/ALT,Plan Review
1411,NEW,Plan Review
1412,ADD/ALT,Plan Review
1413,ADD/ALT,Plan Review
1414,ADD/ALT,Plan Review
1415,ADD/ALT,Plan Review
1416,ADD/ALT,Plan Review
1417,ADD/ALT,Plan Review
1418,ADD/ALT,No plan review
1419,NO CONSTRUCTION,No plan review
1420,ADD/ALT,Plan Review
1421,ADD/ALT,Plan Review
1422,ADD/ALT,No plan review
1423,ADD/ALT,No plan review
1424,ALTER,Plan Review
1425,ADD/ALT,No plan review
1426,NEW,Plan Review
1427,ADD/ALT,Plan Review
1428,NEW,Plan Review
1429,NEW,Plan Review
1430,NEW,Plan Review
1431,NEW,Plan Review
1432,ADD/ALT,Plan Review
1433,DEMOLITION,No plan review
1434,NEW,Plan Review
1435,ADD/ALT,Plan Review
1436,ADD/ALT,Plan Review
1437,ADD/ALT,Plan Review
1438,ALTER,Plan Review
1439,ADD/ALT,Plan Review
1440,ADD/ALT,No plan review
1441,ADD/ALT,No plan review
1442,ADD/ALT,Plan Review
1443,NEW,Plan Review
1444,DEMOLITION,No plan review
1445,NEW,Plan Review
1446,ADD/ALT,No plan review
1447,ADD/ALT,No plan review
1448,ADD/ALT,No plan review
1449,ADD/ALT,Plan Review
1450,ADD/ALT,No plan review
1451,NEW,Plan Review
1452,ADD/ALT,Plan Review
1453,ADD/ALT,Plan Review
1454,ADD/ALT,No plan review
1455,ADD/ALT,No plan review
1456,,Plan Review
1457,ADD/ALT,No plan review
1458,ADD/ALT,No plan review
1459,SHORELINE EXEMPTION ONLY,Plan Review
1460,SHORELINE EXEMPTION ONLY,Plan Review
1461,ADD/ALT,Plan Review
1462,ADD/ALT,Plan Review
1463,ADD/ALT,No plan review
1464,ADD/ALT,No plan review
1465,ADD/ALT,No plan review
1466,ALTER,Plan Review
1467,ADD/ALT,Plan Review
1468,ADD/ALT,Plan Review
1469,ADD/ALT,Plan Review
1470,ADD/ALT,Plan Review
1471,ADD/ALT,Plan Review
1472,NEW,Plan Review
1473,ADD/ALT,Plan Review
1474,DEMOLITION,No plan review
1475,NEW,Plan Review
1476,ADD/ALT,Plan Review
1477,NEW,Plan Review
1478,ADD/ALT,Plan Review
1479,ADD/ALT,Plan Review
1480,ADD/ALT,Plan Review
1481,NEW,Plan Review
1482,DEMOLITION,No plan review
1483,ADD/ALT,Plan Review
1484,ADD/ALT,Plan Review
1485,ADD/ALT,No plan review
1486,ADD/ALT,No plan review
1487,ADD/ALT,No plan review
1488,ADD/ALT,Plan Review
1489,ADD/ALT,Plan Review
1490,ADD/ALT,No plan review
1491,ADD/ALT,Plan Review
1492,ADD/ALT,No plan review
1493,ADD/ALT,No plan review
1494,ADD/ALT,No plan review
1495,ADD/ALT,No plan review
1496,ADD/ALT,No plan review
1497,ALTER,Plan Review
1498,ADD/ALT,No plan review
1499,DEMOLITION,No plan review
1500,DEMOLITION,No plan review
1501,ADD/ALT,Plan Review
1502,DEMOLITION,No plan review
1503,NEW,Plan Review
1504,ADD/ALT,Plan Review
1505,ADD/ALT,Plan Review
1506,,Plan Review
1507,ADD/ALT,No plan review
1508,ADD/ALT,No plan review
1509,ADD/ALT,No plan review
1510,NEW,Plan Review
1511,NEW,Plan Review
1512,DEMOLITION,No plan review
1513,NEW,Plan Review
1514,NEW,Plan Review
1515,NEW,Plan Review
1516,NEW,Plan Review
1517,GRADING,Plan Review
1518,ADD/ALT,Plan Review
1519,NEW,Plan Review
1520,DEMOLITION,No plan review
1521,DEMOLITION,No plan review
1522,ADD/ALT,Plan Review
1523,ADD/ALT,Plan Review
1524,ADD/ALT,Plan Review
1525,ADD/ALT,Plan Review
1526,NEW,Plan Review
1527,ADD/ALT,No plan review
1528,ADD/ALT,Plan Review
1529,ADD/ALT,No plan review
1530,ADD/ALT,No plan review
1531,DEMOLITION,No plan review
1532,ADD/ALT,No plan review
1533,ADD/ALT,Plan Review
1534,ADD/ALT,No plan review
1535,NEW,Plan Review
1536,DEMOLITION,Plan Review
1537,NEW,Plan Review
1538,NEW,Plan Review
1539,DEMOLITION,No plan review
1540,DEMOLITION,No plan review
1541,DEMOLITION,Plan Review
1542,ADD/ALT,Plan Review
1543,NEW,Plan Review
1544,ADD/ALT,Plan Review
1545,ADD/ALT,Plan Review
1546,ADD/ALT,Plan Review
1547,NEW,Plan Review
1548,DEMOLITION,No plan review
1549,ADD/ALT,Plan Review
1550,ADD/ALT,Plan Review
1551,CURB CUT,No plan review
1552,CURB CUT,No plan review
1553,ADD/ALT,No plan review
1554,ADD/ALT,No plan review
1555,,Plan Review
1556,ADD/ALT,No plan review
1557,ADD/ALT,No plan review
1558,ADD/ALT,No plan review
1559,ALTER,Plan Review
1560,ADD/ALT,No plan review
1561,ADD/ALT,No plan review
1562,ADD/ALT,No plan review
1563,ADD/ALT,No plan review
1564,ADD/ALT,No plan review
1565,ALTER,Plan Review
1566,ADD/ALT,Plan Review
1567,ADD/ALT,No plan review
1568,ADD/ALT,Plan Review
1569,ADD/ALT,No plan review
1570,DEMOLITION,Plan Review
1571,NEW,Plan Review
1572,DEMOLITION,No plan review
1573,ADD/ALT,Plan Review
1574,ADD/ALT,Plan Review
1575,ADD/ALT,Plan Review
1576,ADD/ALT,Plan Review
1577,ADD/ALT,Plan Review
1578,ADD/ALT,Plan Review
1579,ADD/ALT,Plan Review
1580,ADD/ALT,Plan Review
1581,ADD/ALT,Plan Review
1582,NO CONSTRUCTION,Plan Review
1583,ADD/ALT,Plan Review
1584,ADD/ALT,Plan Review
1585,NEW,Plan Review
1586,ADD/ALT,Plan Review
1587,ADD/ALT,Plan Review
1588,ADD/ALT,No plan review
1589,,Plan Review
1590,ADD/ALT,Plan Review
1591,ADD/ALT,Plan Review
1592,ADD/ALT,Plan Review
1593,ADD/ALT,No plan review
1594,ADD/ALT,No plan review
1595,ADD/ALT,No plan review
1596,ADD/ALT,No plan review
1597,ADD/ALT,Plan Review
1598,NEW,Plan Review
1599,DEMOLITION,No plan review
1600,ADD/ALT,Plan Review
1601,ADD/ALT,Plan Review
1602,ADD/ALT,Plan Review
1603,ADD/ALT,No plan review
1604,ADD/ALT,No plan review
1605,ADD/ALT,Plan Review
1606,,Plan Review
1607,ADD/ALT,No plan review
1608,ADD/ALT,No plan review
1609,ADD/ALT,No plan review
1610,ALTER,Plan Review
1611,ADD/ALT,Plan Review
1612,ADD/ALT,Plan Review
1613,ADD/ALT,No plan review
1614,ADD/ALT,No plan review
1615,ADD/ALT,No plan review
1616,ADD/ALT,Plan Review
1617,ADD/ALT,Plan Review
1618,ADD/ALT,No plan review
1619,ADD/ALT,Plan Review
1620,ADD/ALT,Plan Review
1621,ADD/ALT,No plan review
1622,ADD/ALT,Plan Review
1623,ALTER,Plan Review
1624,TEMP,Plan Review
1625,NO CONSTRUCTION,Plan Review
1626,ADD/ALT,Plan Review
1627,ADD/ALT,No plan review
1628,DEMOLITION,No plan review
1629,ADD/ALT,Plan Review
1630,ADD/ALT,Plan Review
1631,ADD/ALT,No plan review
1632,NEW,Plan Review
1633,ADD/ALT,No plan review
1634,ADD/ALT,No plan review
1635,DEMOLITION,No plan review
1636,DEMOLITION,No plan review
1637,NEW,Plan Review
1638,ADD/ALT,Plan Review
1639,ADD/ALT,Plan Review
1640,NO CONSTRUCTION,Plan Review
1641,ADD/ALT,Plan Review
1642,ADD/ALT,Plan Review
1643,ADD/ALT,Plan Review
1644,ADD/ALT,Plan Review
1645,ADD/ALT,Plan Review
1646,NEW,Plan Review
1647,DEMOLITION,No plan review
1648,NEW,Plan Review
1649,DEMOLITION,No plan review
1650,DEMOLITION,No plan review
1651,NEW,Plan Review
1652,ADD/ALT,No plan review
1653,ADD/ALT,Plan Review
1654,ADD/ALT,No plan review
1655,NEW,Plan Review
1656,ADD/ALT,No plan review
1657,NEW,Plan Review
1658,NEW,Plan Review
1659,ADD/ALT,Plan Review
1660,NEW,Plan Review
1661,ALTER,Plan Review
1662,ADD/ALT,No plan review
1663,ADD/ALT,No plan review
1664,ADD/ALT,Plan Review
1665,ADD/ALT,No plan review
1666,ADD/ALT,No plan review
1667,ADD/ALT,Plan Review
1668,ADD/ALT,No plan review
1669,ADD/ALT,Plan Review
1670,ADD/ALT,No plan review
1671,ADD/ALT,No plan review
1672,ADD/ALT,No plan review
1673,DEMOLITION,No plan review
1674,ADD/ALT,No plan review
1675,ADD/ALT,No plan review
1676,ALTER,Plan Review
1677,ALTER,Plan Review
1678,TREE/VEGETATION MAINT/RESTORE,No plan review
1679,NEW,Plan Review
1680,ADD/ALT,Plan Review
1681,ADD/ALT,No plan review
1682,NEW,Plan Review
1683,ADD/ALT,No plan review
1684,ALTER,Plan Review
1685,ADD/ALT,No plan review
1686,ADD/ALT,No plan review
1687,ADD/ALT,No plan review
1688,DEMOLITION,No plan review
1689,TREE/VEGETATION MAINT/RESTORE,No plan review
1690,ADD/ALT,No plan review
1691,ADD/ALT,Plan Review
1692,ADD/ALT,Plan Review
1693,ADD/ALT,No plan review
1694,NEW,Plan Review
1695,ADD/ALT,Plan Review
1696,ALTER,Plan Review
1697,ALTER,Plan Review
1698,TREE/VEGETATION MAINT/RESTORE,No plan review
1699,ADD/ALT,No plan review
